"id","source","gender","birthyear","birthmonth","婚姻状态","户口性质","最高学历","健康状况","可支配收入","消费支出"
47785,"城镇住户","男",1947,10,"再婚","非农业户口","初中","好",55165,344
45387,"城镇住户","男",1982,2,"初婚","非农业户口","大学本科","非常好",80082,419
9805,"城镇住户","女",1971,9,"初婚","非农业户口","中专","好",69172,1451
14578,"农村住户","男",1958,11,"初婚","农业户口","初中","好",4199,47
32657,"外来务工","男",1983,10,"初婚","居民户口","初中","非常好",93702,1505
24538,"农村住户","男",1967,1,"初婚","农业户口","初中","一般",25312,5
63190,"城镇住户","男",1963,11,"初婚","居民户口","小学","好",44373,280
15473,"城镇住户","女",1975,5,"初婚","非农业户口","初中","一般",183375,7278
23897,"外来务工","男",1970,1,"初婚","农业户口","初中","一般",20184,2693
58165,"农村住户","男",1955,1,"初婚","农业户口","小学","好",20285,114
280,"城镇住户","男",1948,5,"初婚","非农业户口","小学","一般",44316,223
2366,"农村住户","男",1958,6,"初婚","农业户口","高中","好",74778,565
10307,"农村住户","男",1969,8,"初婚","农业户口","小学","好",30286,1202
29876,"农村住户","男",1964,5,"初婚","农业户口","初中","好",23748,374
8869,"农村住户","男",1960,12,"初婚","农业户口","高中","一般",76452,4604
47899,"外来务工","男",1976,3,"初婚","农业户口","初中","好",57418,1224
29196,"城镇住户","男",1950,3,"初婚","非农业户口","大专","好",65691,723
693,"农村住户","男",1967,2,"初婚","农业户口","小学","一般",111398,1564
59675,"农村住户","男",1954,4,"初婚","农业户口","小学","不好",15448,390
12030,"农村住户","男",1936,8,"初婚","农业户口","初中","一般",48417,1359
15368,"农村住户","男",1963,2,"初婚","农业户口","初中","好",46503,51
27915,"城镇住户","男",1957,8,"初婚","居民户口","大学本科","好",71251,82
65312,"农村住户","男",1944,12,"初婚","居民户口","初中","好",18774,150
72511,"农村住户","男",1950,11,"再婚","农业户口","初中","好",52748,2837
53480,"城镇住户","男",1954,11,"初婚","非农业户口","中专","好",96980,45
43474,"农村住户","男",1965,2,"离异","农业户口","小学","好",15155,1419
11550,"农村住户","男",1949,7,"初婚","农业户口","初中","好",17724,505
37687,"农村住户","女",1978,3,"初婚","农业户口","初中","不好",14265,229
38770,"农村住户","男",1965,1,"初婚","非农业户口","大专","非常不好",83781,1160
21837,"农村住户","男",1963,5,"初婚","农业户口","初中","不好",81638,2450
19365,"农村住户","男",1959,7,"初婚","农业户口","初中","好",103274,388
39124,"农村住户","男",1953,12,"初婚","农业户口","小学","一般",8194,453
54407,"农村住户","男",1948,9,"丧偶","农业户口","小学","好",2789,33
39048,"城镇住户","男",1953,4,"初婚","非农业户口","高中","好",49770,325
27075,"农村住户","男",1974,3,"初婚","居民户口","小学","好",49027,100
65468,"农村住户","男",1950,12,"初婚","农业户口","初中","不好",6374,92
53370,"农村住户","女",1986,3,"初婚","农业户口","初中","好",10054,163
62403,"农村住户","男",1972,4,"初婚","居民户口","初中","非常好",83866,147
23577,"农村住户","男",1990,5,"初婚","农业户口","高中","好",23223,645
59348,"城镇住户","男",1954,9,"初婚","非农业户口","职高/技校","好",105564,1499
70901,"城镇住户","男",1960,9,"初婚","非农业户口","初中","好",39462,43
13457,"农村住户","男",1962,10,"初婚","农业户口","初中","非常好",42526,460
16264,"农村住户","男",1952,9,"初婚","农业户口","小学","不好",34464,111
10695,"城镇住户","男",1975,10,"再婚","非农业户口","初中","非常好",255828,34
8542,"城镇住户","男",1944,8,"初婚","非农业户口","高中","一般",88076,23
7498,"城镇住户","男",1943,1,"初婚","非农业户口","初中","一般",38332,1437
10694,"农村住户","男",1958,11,"初婚","农业户口","高中","好",39364,51
62266,"农村住户","男",1968,12,"初婚","农业户口","小学","非常好",1253,236
8632,"农村住户","男",1975,5,"初婚","农业户口","初中","一般",25733,539
35816,"城镇住户","男",1980,1,"初婚","非农业户口","研究生","非常好",133865,46
